sku,review_text
W008103065,This was a valentines day gift for my wife. Started out very comfy but now after using it for only 9 the sofa has become very hard and uncomfortable. You constantly have to shift to find a soft spot. Very disappointed
W008103065,The comfiest snuggle couch! We LOVE it.
W008103065,We are very happy with our purchase. This sofa is nice and very comfortable... just what we were looking for!
W011131433,Perfect for outdoor entertaining or relaxing by the pool and keeping your drinks cool.
W011131433,"This was a Christmas gift to our son. He had been looking at this couch for the past year, saying how great the reviews are on it. Well, he loves it! He says that it is very comfortable he will be falling asleep on it, most likely. Delivery was as i requested it went very well."
W011131433,Love this couch will be purchasing another
W011131433,Exactly what we wanted. Cushions are super wide. I’m 5’6” and don’t even need a foot stool to have my legs elevated. Really fits well in our modern space. Also comes with two pillows.
W011131433,"Color Light Gray This really is a great couch for the price! Like others have stated, it is HUGE! You will need to measure for sure. The cushions are deep. Like an extra large daybed. The cushions are firm and the material does stretch out a bit when you sit so it ends up looking loose when you get up but it smooths out fine. We have another corduroy couch like this that does the same thing and we’ve had it for over two years and It still looks great and smooths out well. It seems to be made well and stays attached in the middle. The color is lovely. Three of the pictures are in the evening with no natural light and the fourth picture is during the day with natural and lamp light. The curtains behind the couch are ivory for reference."
W011131433,"While I loved this couch, after less then a year one of the cushions became so misshapen it’s hard to sit on. Warranty won’t cover a replacement. Very disappointed."
W011131433,Perfect pouch for college life or your first apartment or home. We wanted something light that my husband and I could carry two pieces. They delivered it. It was perfect and we are moving it out when she graduates. It’s lightweight though. Everybody comments and loves loves our daughter’s couch. It’s big enough for two people to sleep on the cushions have held up beautifully after two years of use. We purchased the gray color
W011131433,"Hands down the best couch I’ve ever had. This is the comfiest, best oversized couch. Easy to snuggle into and get super comfy. Perfect firmness for support too"
W011131433,Couch is big and firm. Exactly what I was looking for. I added pillows I already had and I moved the armrest pillows to the back. I only received the couch this morning but so far so good
W011131433,I get so many compliments on this couch! It is uniquely beautiful and fits multiple styles. My only negative is that it show some use in the cushions after a while. But still great couch!
W011131433,Amazing couch - big and comfy and the perfect shade of green!
W011131433,My daughter loves this couch!
W011131433,perfect size!
W011131433,"I’ve had this couch for over two years, and it is by far the best couch I’ve ever purchased. It’s very large and comfortable, and it has held up extremely well over the years. I purchased based on a review stating, “I am 6’3” over 300 lbs and fit comfortably.” This was 100% true. I am 5’3”, 150, and a dwarf on this couch! Definitely purchase!"
W011131433,"I'm not sure how it will hold up over time, but its exactly how it looks online. Lots and lots of room. Easy to put together. Firm but comfortable"
W011131433,"We upgraded from a sectional with a chaise and this is an amazing size for anyone looking to do the same. What you get in this couch is a deeper seat, perfect for leaning back and having room to put your legs/ feet, or filling with pillows for a more traditional ""feet on the floor"" sit. We have a narrow living room so this opens up our space without the chaise lounge, while fitting a family of four comfortably. Pairs great with the Steve Abstract Gray area rug! https://www.wayfair.com/rugs/pdp/steelside-steve-abstract-gray-area-rug-w005161577.html?piid=49356846"
W011131433,Nice firm but comfortable
W011131433,"We like it. The sofa is comfortable, long, and spacious. It was easy to put together and the fabric seems durable (even with our toddler doing gymnastics on it). The sofa is very deep so we kept moving the side cushions to provide enough back support, and eventually kept it like that. My spouse is 6’3” so that gives you a reference. We will be buying more decorative pillows. Overall, happy with the purchase."
W011131433,"I love this couch! It is easy to assemble, the fabric is soft, it is so comfortable and looks great."
W011131433,Lost its firmness rather quickly. Supports are weak.
W000902139,"Better than I expected, very comfortable and roomy. The color is fantastic! I would buy it all over again, delivery was very easy."
W000902139,Great couch
W000902139,"Beautiful sofa, comfortable for seating straight, so I can work on it. Worth the price."
W000902139,Great color and fabric. Firm cushions which I preferred for this space.
W000902139,I am obsessed with this couch! The color is phenomenal and it looks exactly like it did in the picture. Wayfair included delivery and set up so it could not have been easier.
W000902139,Perfect couch for my apartment!
W000902139,A little brighter orange than I expected but color broken up with throws and pillows and is now excellent. Very comfortable.
W000902139,Beautiful color and fabric. Love the comfort!
W000902139,Love love love
W000902139,Beautiful couch. Super comfortable.
W000902139,"I ordered the sofa in teal velvet, and it is gorgeous! However, the seat cushions are very firm. I hope they will break in over time, but right now, they are pretty uncomfortable."
W000902139,"Love this couch. It's very firm, some may not like that. But it's soft and the color is very pretty. Exactly what it looks like in the picture."
W000902139,"Love it. Fabric is durable and beautiful. Sitting cushions are firm, but necessary to keep material looking nice. I still find it a nice place to sit."
W000902139,This sofa is beautiful and sturdy!
W000902139,So so happy with our new couch! The quality is excellent and fits perfect in our living room. So so happy I found All Modern!
W000902139,"Bought the dark teal...LOVE IT! With 3 kids and 2 pets, the zippers make this sofa super easy to clean-- just take the velvet covers off, wash them in cold water, and hang them to dry. A damp towel, a glide across the upholstery, and wa-la, pet hair removed! It's the BEST!!!"
W000902139,Hard
W000902139,LOVE this sofa. This is my second one thanks to the dogs. I would but it again and again. The seat cushions are the perfect amount of room to sit comfortably AND I can sit with my legs crossed with plenty of room.
W000902139,Love the color and how soft the fabric feels. First spill cleaned up beautifully and anticipating a long life for this sofa.
W000902139,Had this couch for four years and only sold it to downsize for our move— LOVED it. Definitely a beautiful statement piece.
